transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,attempt_count,checkout_abandoned,checkout_duration_seconds,previous_transactions,previous_successful_transactions,previous_success_rate,is_subscription,days_overdue,recovery_attempts,recovery_action,recovery_success,recovered_amount
TX00001,C0457,1445.54,NETBANKING,success,none,0,0,152,4,4,1.0,0,0,0,none,1,1445.54
TX00002,C2419,21211.71,UPI,success,none,0,0,248,17,0,0.0,0,0,0,none,1,21211.71
TX00003,C2233,21092.09,WALLET,success,none,0,0,16,6,5,0.83,1,0,0,none,1,21092.09
TX00004,C0637,10922.63,NETBANKING,success,none,0,0,399,4,2,0.5,1,1,0,none,1,10922.63
TX00005,C0178,36540.64,UPI,abandoned,checkout_dropoff,3,1,90,18,9,0.5,1,1,0,payment_link,1,36540.64
TX00006,C1186,49264.03,CARD,failed,technical_error,2,0,474,12,2,0.17,1,0,2,payment_link,0,0.0
TX00007,C0293,30534.72,CARD,success,none,0,0,260,6,3,0.5,1,0,0,none,1,30534.72
TX00008,C2282,11136.84,NETBANKING,failed,network_error,1,0,42,11,6,0.55,1,0,2,retry_payment,0,0.0
TX00009,C1289,10788.8,WALLET,success,none,0,0,479,5,2,0.4,0,0,0,none,1,10788.8
TX00010,C1011,37300.45,NETBANKING,failed,technical_error,4,0,418,12,3,0.25,0,0,0,payment_link,0,0.0
TX00011,C0193,43082.92,CARD,success,none,0,0,442,20,2,0.1,1,0,0,none,1,43082.92
TX00012,C1918,26549.89,UPI,failed,network_error,4,0,283,11,1,0.09,1,0,1,retry_payment,0,0.0
TX00013,C0014,47700.03,NETBANKING,abandoned,checkout_dropoff,1,1,529,4,2,0.5,0,0,0,payment_link,0,0.0
TX00014,C2210,47684.29,UPI,success,none,0,0,510,1,0,0.0,1,15,0,none,1,47684.29
TX00015,C1260,12124.73,CARD,failed,network_error,0,0,507,3,1,0.33,0,0,2,retry_payment,1,12124.73
TX00016,C0677,13399.82,WALLET,abandoned,checkout_dropoff,4,1,215,10,6,0.6,1,0,0,send_reminder,1,13399.82
TX00017,C0263,17036.66,CARD,success,none,0,0,17,3,0,0.0,0,0,0,none,1,17036.66
